"lang"
{
	"Language"	"schinese"
		"DOTA_Tooltip_ability_ability_thdots_patchouli_metal_earth_damage"	"每秒伤害：金元素等级*30 + "
		"DOTA_Tooltip_ability_ability_thdots_patchouli_metal_earth_range"	"最远距离：土元素等级*150 + "
		"DOTA_Tooltip_ability_ability_thdots_patchouli_earth_earth" 		"土符「三石塔的震动」"
		"DOTA_Tooltip_ability_ability_thdots_patchouli_earth_earth_Description"	"延迟1.0秒后造成地震，对范围内目标造成眩晕和伤害。\n施法距离：700"
		"DOTA_Tooltip_ability_ability_thdots_patchouli_earth_earth_damage"	"伤害：土元素等级*45 + "
		"DOTA_Tooltip_ability_ability_thdots_patchouli_earth_earth_duration"	"眩晕时间：土元素等级*0.3 + "
		"DOTA_Tooltip_ability_ability_thdots_patchouli_xianzhezhishi"	"「贤者之石」"
		"DOTA_Tooltip_ability_ability_thdots_patchouli_xianzhezhishi_Description"	"帕秋莉能用元素合成魔法。每次消耗6%%当前魔法值，并积蓄一个贤者之石。\n帕秋莉每施放一个合成魔法，可以维持一个贤者之石4秒。当贤者之石达到5个之后，会立刻触发日/月符，白天触发日符「皇家烈焰」，对800范围内敌方英雄造成25%%最大血量魔法伤害。晚上触发月符「沉静的月神」，1200范围内友方英雄施加隐身，并降低所受伤害25%%，持续10秒。\n帕秋莉享受日/月元素加成，白天提高技能增强10%%，晚上受到伤害降低10%%"
		"DOTA_Tooltip_ability_invoker_empty1"	"合成帮助"
		"DOTA_Tooltip_ability_invoker_empty1_Description"	"火+火=火神之光(召唤火元素)\n火+水=燃素之雨(持续伤害目标单位及周围)\n火+木=森林大火(范围持续伤害)\n火+金=圣爱尔摩火柱(烧蓝并伤血)\n火+土=环状熔岩带(AOE眩晕+环状沟壑)\n水+水=湖葬(范围内持续减速沉默)\n水+木=水精灵(回复目标生命和法力)\n水+金=水银之毒(范围内降低魔抗并造成伤害)\n水+土=诺亚的大洪水(击退线性上单位)\n木+木=风灵的角笛(加速目标)\n木+金=元素收割者(线性上第一个单位造成伤害并为自己回血)\n木+土=纠缠藤蔓(缠绕))\n金+金=金属疲劳(按移动距离造成伤害和破甲)\n金+土=翡翠巨石(滚动巨石伤害加吸引周围单位)\n土+土=三石塔的震动(延迟范围眩晕+伤害)"
		"DOTA_Tooltip_modifier_thdots_patchouli_fire"	"火元素"
		"DOTA_Tooltip_modifier_thdots_patchouli_water"	"水元素"
		"DOTA_Tooltip_modifier_thdots_patchouli_wood"	"木元素"
		"DOTA_Tooltip_modifier_thdots_patchouli_metal"	"金元素"
		"DOTA_Tooltip_modifier_thdots_patchouli_earth"	"土元素"
		"DOTA_Tooltip_modifier_thdots_patchouli_xianzhezhishi_sun"	"日元素"
		"DOTA_Tooltip_modifier_thdots_patchouli_xianzhezhishi_sun_Description"	"增加10%%技能增强"
		"DOTA_Tooltip_modifier_thdots_patchouli_xianzhezhishi_moon"	"月元素"
		"DOTA_Tooltip_modifier_thdots_patchouli_xianzhezhishi_moon_Description"	"减少10%%受到伤害"
		"DOTA_Tooltip_modifier_thdots_patchouli_xianzhezhishi_add"	"积蓄贤者之石中"
		"DOTA_Tooltip_modifier_thdots_patchouli_xianzhezhishi_moon_divinity2"	"受到伤害减少25%"
		"npc_thdots_unit_patchouli_fire_fire"	"火元素章鱼"
		"DOTA_Tooltip_modifier_thdots_patchouli_fire_fire"	"持续时间"
		"DOTA_Tooltip_modifier_thdots_patchouli_fire_water"	"燃素之雨"
		"DOTA_Tooltip_modifier_patchouli_fire_metal_bonus_damage"	"增加攻击力"
		"DOTA_Tooltip_modifier_patchouli_fire_metal_bonus_attack_speed"	"增加攻速"
		"DOTA_Tooltip_modifier_patchouli_water_water_debuff"	"溺水中"
		"DOTA_Tooltip_modifier_patchouli_water_water_debuff_Description"	"减速并沉默"
		"DOTA_Tooltip_modifier_patchouli_water_metal_debuff"	"水银之毒"
		"DOTA_Tooltip_modifier_patchouli_water_metal_debuff_Description"	"持续受到伤害并降低魔抗"
		"DOTA_Tooltip_modifier_thdots_patchouli_wood_wood_effect"	"风灵的角笛"
		"DOTA_Tooltip_modifier_thdots_patchouli_wood_wood_effect_Description"	"增加移动速度"
		"DOTA_Tooltip_modifier_patchouli_wood_earth_root"	"缠绕"
		"DOTA_Tooltip_modifier_patchouli_wood_earth_disarm"	"缴械"
		"DOTA_Tooltip_modifier_patchouli_metal_metal"	"金属疲劳"
		"DOTA_Tooltip_modifier_patchouli_metal_metal_Description"	"每次进行移动，都会减少护甲并根据移动距离造成物理伤害。"

		"DOTA_Tooltip_ability_special_bonus_unique_invoker_5"		"合成不再消耗魔法"
		"DOTA_Tooltip_ability_special_bonus_unique_invoker_6"		"+1.5秒贤者之石持续时间"
		"DOTA_Tooltip_ability_special_bonus_unique_invoker_7"		"同时受日/月元素加成"
		"DOTA_Tooltip_ability_special_bonus_unique_invoker_8"		"贤者之石同时触发日月符"
		"DOTA_Tooltip_ability_special_bonus_unique_invoker_2"		"「诺亚的大洪水」环形冲击"
		"DOTA_Tooltip_ability_special_bonus_unique_invoker_1"		"+55「圣爱尔摩火柱」攻击/攻速加成"
		"DOTA_Tooltip_ability_special_bonus_unique_invoker_3"       "-5s「纠缠藤蔓」冷却时间"
		"DOTA_Tooltip_ability_special_bonus_unique_invoker_9" 		"+40「翡翠巨石」每秒伤害"
		"DOTA_Tooltip_ability_special_bonus_unique_invoker_10"      "+250「森林大火」树木判定范围"

		// --------------------
		// Satori
		// --------------------
		"npc_dota_hero_rubick"	"古明地觉"
		"DOTA_Tooltip_ability_ability_thdots_satori01"		"想起「Terrible Souvenir」"
		"DOTA_Tooltip_ability_ability_thdots_satori01_Description"	"随机复制敌方的一个技能。\n偷取技能等级为自技能等级。自身每6级终极技能等级+1\n施法距离：%AbilityCastRange%\n只有对真身的偷取才会成功并消耗魔法和冷却。\n万宝槌效果：-16s技能冷却时间"
		"DOTA_Tooltip_ability_ability_thdots_satori01_steal_duration"		"持续时间："
		"DOTA_Tooltip_ability_ability_thdots_satori01_Lore"	"探寻目标的记忆，可以掌握大部分符卡的原理。"
		"DOTA_Tooltip_ability_ability_thdots_satori02"		"脑符「Brain Fingerprint」"
		"DOTA_Tooltip_ability_ability_thdots_satori02_Description"	"放出攻击敌方心灵的弹幕，对目标和周围单位每秒持续减速和造成伤害。\n如果目标已被施放「恐怖催眠術」，则眩晕3秒。\n施法距离：%AbilityCastRange%。"
		"DOTA_Tooltip_ability_ability_thdots_satori02_duration"	"持续时间："
		"DOTA_Tooltip_ability_ability_thdots_satori02_radius"	"AOE范围："
		"DOTA_Tooltip_ability_ability_thdots_satori02_slow_movement"	"减少移速："
		"DOTA_Tooltip_ability_ability_thdots_satori02_slow_attackspeed"	"减少攻速："
		"DOTA_Tooltip_ability_ability_thdots_satori02_Lore"	"只要敌方内心深处存在着恐怖的记忆，就会让它爆发成心灵的障碍而妨碍其行动。"
		"DOTA_Tooltip_ability_ability_thdots_satori03"		"「宠物读心」"
		"DOTA_Tooltip_ability_ability_thdots_satori03_Description"	"觉可以控制住小兵或者中立生物。\n不到最低生命的单位会被提升到最低生命。\n如果给目标为宠物则为其回复满生命值。"
		"DOTA_Tooltip_ability_ability_thdots_satori03_max_num"	"操控最大数量："
		"DOTA_Tooltip_ability_ability_thdots_satori03_max_health"	"最低生命："
		"DOTA_Tooltip_ability_ability_thdots_satori03_Lore"	"觉的能力对于宠物来说独一无二。"
		"DOTA_Tooltip_ability_ability_thdots_satori04"		"想起「恐怖催眠術」"
		"DOTA_Tooltip_ability_ability_thdots_satori04_Description"	"读取目标的脆弱之处，如果觉在目标700码之内，则每秒使其受到伤害增加。\n施法距离：%AbilityCastRange%。"
		"DOTA_Tooltip_ability_ability_thdots_satori04_debuff_bonus_damage"	"%每秒伤害增加："
		"DOTA_Tooltip_ability_ability_thdots_satori04_debuff_duration"	"持续时间："
		"DOTA_Tooltip_ability_ability_thdots_satori04_Lore"	"使对手回想起精神创伤的催眠术的一种。"

		//2020/03/04 神夏
		// --------------------
		// Lunasa
		// --------------------
		"npc_dota_hero_dazzle"	"露娜萨·普莉兹姆利巴"
		"DOTA_Tooltip_ability_ability_thdots_lunasa01"	"伪弦「斯特拉迪瓦里」"
		"DOTA_Tooltip_ability_ability_thdots_lunasa01_Description"	"向前打出弦音，对一直线的敌方单位造成法术伤害，并因忧郁影响，禁咒一段短时间。\n智力加成1.0"
		"DOTA_Tooltip_ability_ability_thdots_lunasa01_lunasa01_duration"		"持续时间："
		"DOTA_Tooltip_ability_ability_thdots_lunasa01_damage"		"伤害："
		"DOTA_Tooltip_ability_ability_thdots_lunasa01_range"		"范围："
		"DOTA_Tooltip_ability_ability_thdots_lunasa02"	"小提琴「令人忧郁的悠弦」"
		"DOTA_Tooltip_ability_ability_thdots_lunasa02_Description"	"攻击附加额外 %damage% 法术伤害同时攻击降低目标魔抗持续9秒，可叠加16次。"
		"DOTA_Tooltip_ability_ability_thdots_lunasa02_duration"		"持续时间："
		"DOTA_Tooltip_ability_ability_thdots_lunasa02_damage"	"伤害："
		"DOTA_Tooltip_ability_ability_thdots_lunasa02_debuff_bonus"		"每层减魔抗："
		"DOTA_Tooltip_ability_ability_thdots_lunasa03"		"「忧郁的幻想乐章」"
		"DOTA_Tooltip_ability_ability_thdots_lunasa03_aghanim_description"		"「忧郁之音」"
		"DOTA_Tooltip_ability_ability_thdots_lunasa03_Description"		"以熟练的手法与技术，提升自身的音乐技巧，但会被自己的忧郁程度所影响。生命值比例愈低时，技能伤害暴击2.0倍的机率愈高，满血无机率暴击。\n每失去%hp_percent%%%生命值，增加10%% 暴击几率"
		"DOTA_Tooltip_ability_ability_thdots_lunasa04"		"弦灵「悲伤提琴曲一第一乐章」"
		"DOTA_Tooltip_ability_ability_thdots_lunasa04_Description"		"拉出绝妙且令人沉静的提琴曲，对单一个敌方单位造成一次法术伤害，并持乐章完结之时再造成一次相等於首次伤害的法术伤害，乐章演奏时间6秒\n智力加成0.6"
		"DOTA_Tooltip_ability_ability_thdots_lunasa04_damage"		"单次伤害:"
		"DOTA_Tooltip_ability_ability_thdots_lunasa04_range"		"施法距离："
		"DOTA_Tooltip_ability_ability_thdots_lunasaEx"		"独葬「棱镜协奏曲-提琴独奏」"
		"DOTA_Tooltip_ability_ability_thdots_lunasaEx_Description"		"<h1>被动：</h1>每第4次攻击附加%damage% +等级x3.0]的法术伤害。\n<h1>被动：</h1>每击杀一个单位增加自身%amplify_bonus%%%技能增强。\n（%amplify_limit%%%后收益减半）"
		"DOTA_Tooltip_ability_ability_thdots_lunasaEx_Lore"		"不积跬步无以至千里，不积小流无已成江海"
		"DOTA_Tooltip_ability_ability_thdots_lunasa_wanbaochui"		"「忧郁之音」"
		"DOTA_Tooltip_ability_ability_thdots_lunasa_wanbaochui_Description"		"<h1>激活：</h1>露娜萨陷入忧郁状态，持续流失生命，隔绝外界干扰，降低所受伤害，同时演奏速度加快，增加攻击速度。"
		"DOTA_Tooltip_ability_ability_thdots_lunasa_wanbaochui_Note0"		"每秒失去当前生命的%drain_pct%%%"
		"DOTA_Tooltip_ability_ability_thdots_lunasa_wanbaochui_bonus_damage_pct"		"%降低伤害："
		"DOTA_Tooltip_ability_ability_thdots_lunasa_wanbaochui_bonus_attack_speed"		"增加攻速："
		"DOTA_Tooltip_ability_ability_thdots_lunasa_wanbaochui_drain_pct"		"%每秒流失当前生命："
		//modifier
		"DOTA_Tooltip_modifier_lunasa01"	"伪弦沉默"
		"DOTA_Tooltip_modifier_lunasa02"	"「令人忧郁的悠弦」"
		"DOTA_Tooltip_modifier_lunasa02_Description"	"攻击附加额外法术伤害同时攻击降低目标魔抗"
		"DOTA_Tooltip_modifier_lunasa02_debuff"	"「令人忧郁的悠弦」"
		"DOTA_Tooltip_modifier_lunasa02_debuff_Description"	"受到来自露娜萨的攻击，魔抗降低"
		"DOTA_Tooltip_modifier_lunasa03"	"「忧郁的幻想乐章」"
		"DOTA_Tooltip_modifier_lunasa03_Description"	"技能暴击概率百分比"
		"DOTA_Tooltip_modifier_ability_thdots_lunasa_wanbaochui"	"「忧郁之音」"
		"DOTA_Tooltip_modifier_ability_thdots_lunasa_wanbaochui_Description"	"持续流失生命，降低所受伤害，增加攻击速度"
		"DOTA_Tooltip_modifier_lunasa04"	"「悲伤提琴曲一第一乐章」"
		"DOTA_Tooltip_modifier_lunasa04_Description"	"被沉默，技能结束后再结算一次伤害"
		"DOTA_Tooltip_modifier_lunasaEx"	"「提琴独奏」"
		"DOTA_Tooltip_modifier_lunasaEx_Description"	"每杀死一个单位增加技能伤害"
		"DOTA_Tooltip_modifier_lunasaEx_magicBonus"	"「棱镜协奏曲」"
		"DOTA_Tooltip_modifier_lunasaEx_magicBonus_Description"	"第4次攻击附加的法术伤害"
		"DOTA_Tooltip_ability_special_bonus_unique_dazzle_4" "「忧郁的幻想乐章」每失去10%生命值增加概率"
		"DOTA_Tooltip_ability_special_bonus_unique_dazzle_2" "「令人忧郁的悠弦」双倍叠加"

		//2020/03/06 神夏
		// --------------------
		// Lyrica
		// --------------------
		"npc_dota_hero_weaver"	"莉莉卡·普莉兹姆利巴"
		"DOTA_Tooltip_ability_ability_thdots_lyrica01"	"键灵「贝森多夫」"
		"DOTA_Tooltip_ability_ability_thdots_lyrica01_Description"	"莉莉卡浮现於目标位置，并对移动后范围内的友军单位回复一定血量\n智力加成1.9"
		"DOTA_Tooltip_ability_ability_thdots_lyrica01_heal"		"治疗量："
		"DOTA_Tooltip_ability_ability_thdots_lyrica01_heal_radius"		"治疗范围："
		"DOTA_Tooltip_ability_ability_thdots_lyrica02"	"冥键「令人欢愉的震魂」"
		"DOTA_Tooltip_ability_ability_thdots_lyrica02_Description"	"指定一个友方单位，能让该单位，在下一次攻击敌方少女以及被敌方少女攻击时，各一次对敌人造成%damage%法术伤害并降低移动及攻击速度%attack_speed_reduction%%%\n持续%duration%秒\n智力加成%bonus_int%"
		"DOTA_Tooltip_ability_ability_thdots_lyrica02"	"冥键「令人欢愉的震魂」"
		"DOTA_Tooltip_ability_ability_thdots_lyrica03"	"「幻想乡绮想音波」"
		"DOTA_Tooltip_ability_ability_thdots_lyrica03talent"	"「幻想乡绮想音波」天赋"
		"DOTA_Tooltip_ability_ability_thdots_lyrica03talent_Description"	"额外降低附近范围敌方%all_state_reduce%全能力值"
		"DOTA_Tooltip_ability_ability_thdots_lyrica03_Description"	"隔空奏出优丽的琴音，令敌人沉迷於音色之间。降低附近范围敌方的全能力值"
		"DOTA_Tooltip_ability_ability_thdots_lyrica03_all_state_reduce"		"降低全属性："
		"DOTA_Tooltip_ability_ability_thdots_lyrica04"	"键灵「韵动钢琴曲第一乐章」"
		"DOTA_Tooltip_ability_ability_thdots_lyrica04_Description"	"使一个友方目标在持续时间内免疫所有伤害"
		"DOTA_Tooltip_ability_ability_thdots_lyrica04_duration"		"持续时间："
		"DOTA_Tooltip_ability_ability_thdots_lyricaEx"	"独葬「棱镜协奏曲-键盘独奏」"
		"DOTA_Tooltip_ability_ability_thdots_lyricaEx_Description"	"每第4次攻击，该攻击造成45+等级的300范围法术伤害\n每击杀一个单位降低0.2%%技能冷却时间。(40%%后收益半)。75%%达到上限"
		"DOTA_Tooltip_modifier_ability_thdots_lyrica02_attack"	"「令人欢愉的震魂」攻击"
		"DOTA_Tooltip_modifier_ability_thdots_lyrica02_attack_Description"	"下一次攻击造成对敌人造成法术伤害并降低移动及攻击速度"
		"DOTA_Tooltip_modifier_ability_thdots_lyrica02_beattack"	"「令人欢愉的震魂」防御"
		"DOTA_Tooltip_modifier_ability_thdots_lyrica02_beattack_Description"	"被攻击会造成对敌人造成法术伤害并降低移动及攻击速度"
		"DOTA_Tooltip_modifier_ability_thdots_lyrica02_debuff"	"「令人欢愉的震魂」"
		"DOTA_Tooltip_modifier_ability_thdots_lyrica02_debuff_Description"	"降低移动及攻击速度"
		"DOTA_Tooltip_modifier_ability_thdots_lyrica03_debuff"	"「幻想乡绮想音波」"
		"DOTA_Tooltip_modifier_ability_thdots_lyrica03_debuff_Description"	"降低附近范围敌方的全能力值"
		"DOTA_Tooltip_modifier_ability_thdots_lyrica03_debuff_aura"	"「幻想乡绮想音波」"
		"DOTA_Tooltip_modifier_ability_thdots_lyrica03_debuff_aura_Description"	"降低全能力值"
		"DOTA_Tooltip_modifier_ability_thdots_lyrica04"	"「韵动钢琴曲第一乐章」"
		"DOTA_Tooltip_modifier_ability_thdots_lyrica04_Description"	"免疫所有伤害"
		"DOTA_Tooltip_modifier_ability_thdots_lyricaEx"	"「键盘独奏」"
		"DOTA_Tooltip_modifier_ability_thdots_lyricaEx_Description"	"每击杀一个单位降低技能冷却时间"
		"DOTA_Tooltip_modifier_ability_thdots_lyricaEx_bonus"	"「棱镜协奏曲」"
		"DOTA_Tooltip_modifier_ability_thdots_lyricaEx_bonus_Description"	"每第4次攻击造成范围法术伤害"
		"DOTA_Tooltip_modifier_ability_thdots_lyrica03talent_debuff"	"「幻想乡绮想音波」天赋"
		"DOTA_Tooltip_modifier_ability_thdots_lyrica03talent_debuff_Description"	"额外降低附近范围敌方20全能力值"
		"DOTA_Tooltip_modifier_ability_thdots_lyrica03talent_debuff_aura"	"「幻想乡绮想音波」天赋"
		"DOTA_Tooltip_modifier_ability_thdots_lyrica03talent_debuff_aura_Description"	"额外降低20全能力值"
		"DOTA_Tooltip_ability_special_bonus_unique_weaver_4" "「贝森多夫」造成治疗同等伤害"
		"DOTA_Tooltip_ability_special_bonus_unique_weaver_3" "「贝森多夫」双倍治疗范围"
		"DOTA_Tooltip_ability_special_bonus_unique_weaver_2" "「幻想乡绮想音波」-30全属性"

		//
		"npc_dota_hero_mars"	"寅丸星"
		"DOTA_Tooltip_modifier_ability_thdots_shou01"	"「无间隙的法之独钴杵」"
		"DOTA_Tooltip_modifier_ability_thdots_shou01_Description"	"提升护甲及法抗，攻击时会对目标造成伤害并且造成眩晕"
		"DOTA_Tooltip_ability_ability_thdots_shou02"	"光符「净化之魔」"
		"DOTA_Tooltip_ability_ability_thdots_shou02_Description"	"打出一道法柱，只要有单位碰触到法柱，法柱会解除并造成范围伤害\n法柱持续10.0秒\n智力加成1.4"
		"DOTA_Tooltip_ability_ability_thdots_shou01"	"法灯「无间隙的法之独钴杵」"
		"DOTA_Tooltip_ability_ability_thdots_shou01_Description"	"提升星的护甲及法抗，持续5. 0秒，持续期间第一次攻击时，会对目标造成伤害并且造成剩余持续时间*%stun_bonus%的眩晕，但护甲及法抗提升效果会即时消失。\n\n智力加成1.5"
		"DOTA_Tooltip_modifier_ability_thdots_shou02_light"	"light"
		"DOTA_Tooltip_modifier_ability_thdots_shou02_light_Description"	""
		"DOTA_Tooltip_modifier_ability_thdots_shou02"	"「净化之魔」"
		"DOTA_Tooltip_modifier_ability_thdots_shou02_Description"	"施法次数"
		"DOTA_Tooltip_ability_ability_thdots_shou03"	"宝符「黄金之震眩」"
		"DOTA_Tooltip_ability_ability_thdots_shou03_Description"	"击杀单位会取得额外金钱及一层法力储藏，同时对该单位附近造成法术伤害并晕眩。"
		"DOTA_Tooltip_ability_ability_thdots_shou03_aghanim_description"	"寅丸星汇聚宝塔之力，根据当前金币增加法术强度，每%amplify_gold%金币增加1%%，击杀敌方少女后寅丸星会丢失重要的物品（损失金币）"
		"DOTA_Tooltip_modifier_ability_thdots_shou03"	"「黄金之震眩」"
		"DOTA_Tooltip_modifier_ability_thdots_shou03_Description"	"击杀单位对该单位附近造成法术伤害并晕眩"
		"DOTA_Tooltip_modifier_ability_thdots_shouEx"	"「法力储藏的独枯杵」"
		"DOTA_Tooltip_modifier_ability_thdots_shouEx_Description"	"施法回复血量和法力"
		"DOTA_Tooltip_ability_ability_thdots_shouEx_Description"	"每%persecond%秒，增加一层法力储藏，上限叠加%max%层。施法时自动消耗一层法力储藏，回复2.5%%的血量和法力上限。"
		"DOTA_Tooltip_ability_ability_thdots_shouEx"	"「法力储藏的独枯杵」"
		"DOTA_Tooltip_ability_ability_thdots_shou03_gold_bonus"	"额外金钱："
		"DOTA_Tooltip_ability_ability_thdots_shou03_damage"	"伤害："
		"DOTA_Tooltip_ability_ability_thdots_shou03_stun_duration"	"眩晕时间："
		"DOTA_Tooltip_ability_ability_thdots_shou03_radius"	"范围："
		"DOTA_Tooltip_ability_ability_thdots_shou03_reduce_gold"	"%万宝槌击杀丢失金币："
		"DOTA_Tooltip_ability_ability_thdots_shou04_Description"	"星用法术移动至目标位置，对该目标位置打出固定方向的5道宝绿色光柱，被光柱击中的单位会受到伤害并晕眩。\n智力加成1.8"
		"DOTA_Tooltip_ability_ability_thdots_shou04"	"「完全净化」"
		"DOTA_Tooltip_ability_ability_thdots_shou04_length"	"光柱范围："
		"DOTA_Tooltip_ability_ability_thdots_shou04_damage"	"伤害："
		"DOTA_Tooltip_ability_ability_thdots_shou04_stun"	"眩晕时间："
		"DOTA_Tooltip_ability_ability_thdots_shou01_duration"	"持续时间："
		"DOTA_Tooltip_ability_ability_thdots_shou01_armor_bonus"	"增加护甲："
		"DOTA_Tooltip_ability_ability_thdots_shou01_resistance_bonus"	"增加魔抗："
		"DOTA_Tooltip_ability_ability_thdots_shou01_damage"	"伤害："
		"DOTA_Tooltip_ability_ability_thdots_shou02_damage"	"伤害："
		"DOTA_Tooltip_ability_ability_thdots_shou02_radius"	"范围："
		"DOTA_Tooltip_ability_special_bonus_unique_mars_spear_bonus_damage" "+2层「净化之魔」"
		"DOTA_Tooltip_ability_special_bonus_unique_mars_gods_rebuke_extra_crit" "「黄金之震眩」+40额外金币"
		"DOTA_Tooltip_ability_special_bonus_unique_mars_arena_of_blood_hp_regen" "「完全净化」-80秒冷却"

		"npc_dota_hero_luna" 	"露娜·切露德"
		"DOTA_Tooltip_ability_ability_thdots_child01_Description"	"射击一个目标单位，造成2次额外的攻击伤害，并降低移动速度及攻击速度%duration%秒"
		"DOTA_Tooltip_ability_ability_thdots_child01"	"月符「 露娜射击」"
		"DOTA_Tooltip_modifier_ability_thdots_child01_debuff"	"「 露娜射击」"
		"DOTA_Tooltip_modifier_ability_thdots_child01_debuff_Description"	"降低攻速和移速"
		"DOTA_Tooltip_ability_ability_thdots_child01_movespeed_slow"	"移速降低："
		"DOTA_Tooltip_ability_ability_thdots_child01_attackspeed_slow"	"攻速降低："
		"DOTA_Tooltip_ability_ability_thdots_child01_damage"	"伤害："
		"DOTA_Tooltip_ability_ability_thdots_child01_attack_bonus"	"攻击力加成："
		"DOTA_Tooltip_ability_ability_thdots_child03_Description"	"对敌方单位攻击时，对附近当前生命值比例最少的敌方单位造成一次物理伤害， 降低目标攻击力4.0秒(可迭加3次)。"
		"DOTA_Tooltip_ability_ability_thdots_child03"	"月光「无声绽放」"
		"DOTA_Tooltip_modifier_ability_thdots_child03_debuff"	"「无声绽放」"
		"DOTA_Tooltip_modifier_ability_thdots_child03_debuff_Description"	"降低攻击力"
		"DOTA_Tooltip_ability_ability_thdots_child03_damage"	"伤害："
		"DOTA_Tooltip_ability_ability_thdots_child03_attack_reduce"	"降低攻击力："
		"DOTA_Tooltip_modifier_ability_thdots_child03"	"「无声绽放」"
		"DOTA_Tooltip_modifier_ability_thdots_child03_Description"	"攻击时造成一次物理伤害， 降低目标攻击力。"
		"DOTA_Tooltip_ability_ability_thdots_child02_Description"	"指定一个目标范围，造出一个月形光圈封闭该范围内的声音，该范围内的敌方少女宣读符卡时，晕眩%stun_duration%秒并造成伤害"
		"DOTA_Tooltip_ability_ability_thdots_child02"	"月符「消寂之月」"
		"DOTA_Tooltip_ability_ability_thdots_child02_damage"	"伤害："
		"DOTA_Tooltip_ability_ability_thdots_child02_duration"	"持续时间："
		"DOTA_Tooltip_ability_ability_thdots_child02_stun_duration"	"眩晕时间："
		"DOTA_Tooltip_ability_ability_thdots_child02_radius"	"目标范围："
		"DOTA_Tooltip_ability_ability_thdots_child04_Description"	"射出终结气旋，将直线范围内的声音收缩到完全无音的程度，令敌人耳觉痛楚造成巨额伤害。每击中多一个单位，气旋伤害都会增加，露娜同时会增加5点敏捷，持续20秒"
		"DOTA_Tooltip_ability_ability_thdots_child04"	"月亮「月结奏曲」"
		"DOTA_Tooltip_modifier_ability_thdots_child04"	"「月结奏曲」"
		"DOTA_Tooltip_modifier_ability_thdots_child04_Description"	"每层增加5点敏捷"
		"DOTA_Tooltip_ability_ability_thdots_child04_radius"	"作用范围："
		"DOTA_Tooltip_ability_ability_thdots_child04_damage"	"伤害："
		"DOTA_Tooltip_ability_ability_thdots_child04_damage_bonus"	"每个单位伤害加成："
		"DOTA_Tooltip_ability_ability_thdots_child04_duration"	"持续时间："
		"DOTA_Tooltip_ability_ability_thdots_child04_range"	"距离："
		"DOTA_Tooltip_ability_ability_thdots_childEx_Description"	"消除声音令小地图上无法测见其位置。\n若%radius%范围内有敌方少女，则会在小地图上显形"
		"DOTA_Tooltip_ability_ability_thdots_childEx"	"光壁「凿壁偷光」"
		"DOTA_Tooltip_modifier_ability_thdots_childEx"	"「凿壁偷光」"
		"DOTA_Tooltip_modifier_ability_thdots_childEx_Description"	"小地图上无法测见其位置"
		"DOTA_Tooltip_ability_special_bonus_unique_luna_1" "「消寂之月」+150范围"
		"DOTA_Tooltip_ability_special_bonus_unique_luna_2" "「无声绽放」优先英雄"
		"DOTA_Tooltip_ability_special_bonus_unique_luna_3" "「月结奏曲」全地图释放"
		"DOTA_Tooltip_ability_special_bonus_unique_luna_4" "「无声绽放」3倍伤害叠加并移除上限"
		//03.27
		"npc_dota_hero_vengefulspirit"	"姬海棠果"
		"DOTA_Tooltip_ability_ability_thdots_hatate01_Description"	"被动增加羽立的移动速度。\n主动施展时，利用天狗高速的能力，高速移动至目标位置。\n不再与扫帚移速叠加"
		"DOTA_Tooltip_ability_ability_thdots_hatate01"	"取材「姬海棠羽立的取材练习」"
		"DOTA_Tooltip_ability_ability_thdots_hatate01_range"	"施法距离："
		"DOTA_Tooltip_ability_ability_thdots_hatate01_movespeed_bonus"	"增加移速："
		"DOTA_Tooltip_modifier_ability_thdots_hatate01"	"「姬海棠羽立的取材练习」"
		"DOTA_Tooltip_modifier_ability_thdots_hatate01_Description"	"增加移速"
		"DOTA_Tooltip_ability_ability_thdots_hatate02_Description"	"对目标范围拍下一张照片，即时造成一定伤害。当羽立每一次对被拍照的单位攻击时，会对该单位造成额外<font color=\"#f0ad4e\">纯粹</font>伤害。\n即时造成的伤害为技能3倍伤害。"
		"DOTA_Tooltip_ability_ability_thdots_hatate02"	"「花果子念报」"
		"DOTA_Tooltip_modifier_ability_thdots_hatate02_debuff"	"「花果子念报」"
		"DOTA_Tooltip_modifier_ability_thdots_hatate02_debuff_Description"	"羽立攻击时会造成额外伤害"
		"DOTA_Tooltip_ability_ability_thdots_hatate02_damage"	"额外伤害："
		"DOTA_Tooltip_ability_ability_thdots_hatate02_radius"	"目标范围："
		"DOTA_Tooltip_ability_ability_thdots_hatate02_duration"	"拍照持续时间："
		"DOTA_Tooltip_ability_ability_thdots_hatate03_Description"	"短时间内提升自己的攻击速度400，以进行高速连环快拍。\n提升的攻击速度会随时间渐降。"
		"DOTA_Tooltip_ability_ability_thdots_hatate03"	"连拍「Rapid Shot」"
		"DOTA_Tooltip_ability_ability_thdots_hatate03_duration"	"持续时间："
		"DOTA_Tooltip_modifier_ability_thdots_hatate03"	"「Rapid Shot」"
		"DOTA_Tooltip_modifier_ability_thdots_hatate03_Description"	"「Rapid Shot」"
		"DOTA_Tooltip_modifier_ability_thdots_hatate03_Description_Description"	"短时间内提升自己的攻击速度"
